workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,fan,feminine,furniture,3,yellow,hard,color,1,texture
0,TV,masculine,furniture,4,soft,huge,texture,0.48,size
0,cheese,masculine,food,5,new,short,age,0.88,size
0,fan,feminine,furniture,6,long,purple,size,0.07,color
0,carrot,feminine,food,7,soft,blue,texture,0.25,color
0,cheese,masculine,food,8,round,big,shape,0.91,size
0,carrot,feminine,food,9,old,green,age,0.71,color
0,fan,feminine,furniture,10,fresh,red,age,0.31,color
0,couch,feminine,furniture,11,old,big,age,0.83,size
0,fan,feminine,furniture,12,metal,short,material,0.4,size
0,carrot,feminine,food,13,small,wooden,size,0.74,material
0,chair,masculine,furniture,14,smooth,wooden,texture,0.12,material
0,fan,feminine,furniture,15,soft,short,texture,0.75,size
0,fan,feminine,furniture,16,purple,bad,color,0.78,quality
0,couch,feminine,furniture,17,blue,plastic,color,0.12,material
0,apple,feminine,food,18,rotten,small,age,0.87,size
0,chair,masculine,furniture,19,huge,green,size,0.29,color
0,carrot,feminine,food,20,soft,square,texture,0.76,shape
0,TV,masculine,furniture,21,soft,fresh,texture,0.33,age
0,fan,feminine,furniture,22,red,short,color,0.72,size
0,chair,masculine,furniture,23,huge,yellow,size,0.45,color
0,TV,masculine,furniture,24,long,fresh,size,0.54,age
0,chair,masculine,furniture,25,new,purple,age,0.73,color
0,fan,feminine,furniture,26,big,square,size,0.28,shape
0,fan,feminine,furniture,27,yellow,round,color,0.17,shape
0,banana,feminine,food,28,yellow,old,color,0.85,age
1,couch,feminine,furniture,3,good,smooth,quality,0.5,texture
1,chair,masculine,furniture,4,good,brown,quality,0.52,color
1,couch,feminine,furniture,5,short,smooth,size,0.37,texture
1,chair,masculine,furniture,6,square,metal,shape,0.41,material
1,carrot,feminine,food,7,smooth,fresh,texture,0.49,age
1,fan,feminine,furniture,8,short,square,size,0.48,shape
1,couch,feminine,furniture,9,soft,fresh,texture,0.3,age
1,couch,feminine,furniture,10,small,new,size,0.41,age
1,chair,masculine,furniture,11,short,plastic,size,0.37,material
1,cheese,masculine,food,12,red,plastic,color,0.37,material
1,desk,masculine,furniture,13,round,bad,shape,0.49,quality
1,tomato,feminine,food,14,huge,fresh,size,0.53,age
1,desk,masculine,furniture,15,huge,round,size,0.44,shape
1,apple,feminine,food,16,purple,long,color,0.44,size
1,banana,feminine,food,17,short,new,size,0.25,age
1,tomato,feminine,food,18,big,new,size,0.4,age
1,fan,feminine,furniture,19,rotten,square,age,0.46,shape
1,desk,masculine,furniture,20,red,round,color,0.44,shape
1,couch,feminine,furniture,21,old,wooden,age,0.32,material
1,banana,feminine,food,22,fresh,square,age,0.42,shape
1,banana,feminine,food,23,square,soft,shape,0.45,texture
1,apple,feminine,food,24,hard,wooden,texture,0.35,material
1,banana,feminine,food,25,plastic,huge,material,0.43,size
1,carrot,feminine,food,26,bad,short,quality,0.44,size
1,banana,feminine,food,27,long,hard,size,0.49,texture
1,tomato,feminine,food,28,round,wooden,shape,0.44,material
2,banana,feminine,food,3,smooth,purple,texture,0.99,color
2,chair,masculine,furniture,4,fresh,red,age,0.01,color
2,apple,feminine,food,5,smooth,square,texture,0.98,shape
2,banana,feminine,food,6,smooth,round,texture,0.99,shape
2,couch,feminine,furniture,7,huge,fresh,size,0.01,age
2,apple,feminine,food,8,huge,bad,size,0.5,quality
2,tomato,feminine,food,9,small,smooth,size,0.47,texture
2,chair,masculine,furniture,10,big,fresh,size,0.98,age
2,fan,feminine,furniture,11,red,new,color,0.5,age
2,chair,masculine,furniture,12,soft,blue,texture,0.5,color
2,tomato,feminine,food,13,big,metal,size,0.5,material
2,banana,feminine,food,14,good,square,quality,0.94,shape
2,cheese,masculine,food,15,plastic,green,material,0.96,color
2,couch,feminine,furniture,16,big,plastic,size,0.04,material
2,desk,masculine,furniture,17,brown,old,color,0.99,age
2,apple,feminine,food,18,wooden,new,material,0.02,age
2,fan,feminine,furniture,19,purple,long,color,0.98,size
2,desk,masculine,furniture,20,blue,round,color,0.99,shape
2,couch,feminine,furniture,21,rotten,metal,age,0.5,material
2,couch,feminine,furniture,22,smooth,good,texture,0.49,quality
2,desk,masculine,furniture,23,plastic,square,material,0.99,shape
2,banana,feminine,food,24,green,huge,color,0,size
2,TV,masculine,furniture,25,round,huge,shape,0.46,size
2,carrot,feminine,food,26,new,soft,age,0.99,texture
2,fan,feminine,furniture,27,wooden,short,material,0.01,size
2,cheese,masculine,food,28,green,good,color,1,quality
3,TV,masculine,furniture,3,metal,yellow,material,1,color
3,cheese,masculine,food,4,hard,square,texture,0.42,shape
3,TV,masculine,furniture,5,green,soft,color,0.75,texture
3,tomato,feminine,food,6,brown,soft,color,0.29,texture
3,chair,masculine,furniture,7,big,good,size,0.73,quality
3,apple,feminine,food,8,round,old,shape,0.5,age
3,desk,masculine,furniture,9,good,soft,quality,0.51,texture
3,fan,feminine,furniture,10,new,big,age,0.55,size
3,couch,feminine,furniture,11,fresh,purple,age,0.72,color
3,couch,feminine,furniture,12,huge,plastic,size,0.23,material
3,TV,masculine,furniture,13,brown,square,color,0.98,shape
3,carrot,feminine,food,14,rotten,soft,age,1,texture
3,cheese,masculine,food,15,soft,metal,texture,0.53,material
3,apple,feminine,food,16,square,soft,shape,0.62,texture
3,cheese,masculine,food,17,soft,wooden,texture,0.34,material
3,chair,masculine,furniture,18,brown,fresh,color,0.77,age
3,fan,feminine,furniture,19,good,purple,quality,0.52,color
3,TV,masculine,furniture,20,small,blue,size,0.81,color
3,fan,feminine,furniture,21,rotten,long,age,0.55,size
3,fan,feminine,furniture,22,old,wooden,age,0.66,material
3,fan,feminine,furniture,23,long,purple,size,0.79,color
3,fan,feminine,furniture,24,wooden,hard,material,0.69,texture
3,desk,masculine,furniture,25,wooden,round,material,0.79,shape
3,chair,masculine,furniture,26,rotten,yellow,age,0.74,color
3,apple,feminine,food,27,bad,soft,quality,0.67,texture
3,chair,masculine,furniture,28,new,yellow,age,0.56,color
4,desk,masculine,furniture,3,red,new,color,0.01,age
4,desk,masculine,furniture,4,long,blue,size,0.97,color
4,desk,masculine,furniture,5,plastic,bad,material,0,quality
4,couch,feminine,furniture,6,yellow,small,color,0.02,size
4,banana,feminine,food,7,square,purple,shape,0.98,color
4,tomato,feminine,food,8,green,rotten,color,0.01,age
4,couch,feminine,furniture,9,blue,square,color,0.05,shape
4,apple,feminine,food,10,hard,purple,texture,0.94,color
4,apple,feminine,food,11,round,brown,shape,0.99,color
4,tomato,feminine,food,12,rotten,red,age,0.98,color
4,carrot,feminine,food,13,rotten,metal,age,0.92,material
4,couch,feminine,furniture,14,green,short,color,0.01,size
4,apple,feminine,food,15,new,wooden,age,0.99,material
4,apple,feminine,food,16,good,round,quality,1,shape
4,TV,masculine,furniture,17,new,wooden,age,0.99,material
4,desk,masculine,furniture,18,red,small,color,0.05,size
4,couch,feminine,furniture,19,soft,fresh,texture,0.97,age
4,apple,feminine,food,20,round,bad,shape,0.02,quality
4,apple,feminine,food,21,square,green,shape,0.98,color
4,chair,masculine,furniture,22,red,long,color,0.03,size
4,fan,feminine,furniture,23,old,round,age,0.03,shape
4,desk,masculine,furniture,24,square,small,shape,0,size
4,tomato,feminine,food,25,yellow,huge,color,0.03,size
4,TV,masculine,furniture,26,yellow,long,color,0.03,size
4,banana,feminine,food,27,purple,plastic,color,0.99,material
4,tomato,feminine,food,28,soft,big,texture,0.03,size
5,carrot,feminine,food,3,green,bad,color,0,quality
5,desk,masculine,furniture,4,good,wooden,quality,1,material
5,banana,feminine,food,5,square,huge,shape,1,size
5,banana,feminine,food,6,old,soft,age,0,texture
5,tomato,feminine,food,7,wooden,purple,material,0.5,color
5,cheese,masculine,food,8,brown,new,color,0,age
5,banana,feminine,food,9,fresh,blue,age,0.49,color
5,carrot,feminine,food,10,green,rotten,color,0,age
5,couch,feminine,furniture,11,metal,new,material,0.01,age
5,fan,feminine,furniture,12,rotten,yellow,age,1,color
5,desk,masculine,furniture,13,hard,square,texture,1,shape
5,fan,feminine,furniture,14,fresh,bad,age,0.51,quality
5,TV,masculine,furniture,15,big,blue,size,0,color
5,cheese,masculine,food,16,new,wooden,age,0.48,material
5,chair,masculine,furniture,17,big,fresh,size,0.48,age
5,carrot,feminine,food,18,hard,blue,texture,0.5,color
5,chair,masculine,furniture,19,blue,small,color,0,size
5,cheese,masculine,food,20,new,soft,age,0,texture
5,desk,masculine,furniture,21,blue,plastic,color,0,material
5,apple,feminine,food,22,hard,bad,texture,0,quality
5,TV,masculine,furniture,23,bad,round,quality,1,shape
5,carrot,feminine,food,24,good,hard,quality,1,texture
5,fan,feminine,furniture,25,bad,big,quality,1,size
5,banana,feminine,food,26,small,good,size,0,quality
5,fan,feminine,furniture,27,soft,blue,texture,1,color
5,banana,feminine,food,28,square,red,shape,0.5,color
6,cheese,masculine,food,3,short,round,size,1,shape
6,banana,feminine,food,4,rotten,huge,age,1,size
6,desk,masculine,furniture,5,blue,wooden,color,0.02,material
6,banana,feminine,food,6,old,small,age,0.65,size
6,couch,feminine,furniture,7,good,short,quality,0.38,size
6,banana,feminine,food,8,red,smooth,color,0.42,texture
6,carrot,feminine,food,9,metal,blue,material,0.67,color
6,tomato,feminine,food,10,green,small,color,0,size
6,cheese,masculine,food,11,rotten,good,age,0.17,quality
6,couch,feminine,furniture,12,square,red,shape,0.75,color
6,TV,masculine,furniture,13,square,smooth,shape,0.31,texture
6,fan,feminine,furniture,14,old,good,age,0.33,quality
6,carrot,feminine,food,15,square,bad,shape,0.48,quality
6,couch,feminine,furniture,16,huge,rotten,size,0.58,age
6,carrot,feminine,food,17,blue,square,color,0.3,shape
6,couch,feminine,furniture,18,round,blue,shape,0,color
6,fan,feminine,furniture,19,new,round,age,0.77,shape
6,banana,feminine,food,20,blue,square,color,0,shape
6,couch,feminine,furniture,21,yellow,metal,color,0,material
6,couch,feminine,furniture,22,brown,old,color,0.71,age
6,chair,masculine,furniture,23,bad,square,quality,0,shape
6,cheese,masculine,food,24,red,hard,color,0,texture
6,carrot,feminine,food,25,huge,hard,size,0,texture
6,apple,feminine,food,26,long,red,size,0.3,color
6,carrot,feminine,food,27,big,red,size,0.61,color
6,cheese,masculine,food,28,yellow,hard,color,0.47,texture
7,TV,masculine,furniture,3,wooden,good,material,0.03,quality
7,carrot,feminine,food,4,long,red,size,0.84,color
7,banana,feminine,food,5,green,long,color,0.03,size
7,chair,masculine,furniture,6,bad,small,quality,0.77,size
7,carrot,feminine,food,7,square,small,shape,0.13,size
7,couch,feminine,furniture,8,blue,short,color,0.2,size
7,desk,masculine,furniture,9,soft,wooden,texture,0.86,material
7,couch,feminine,furniture,10,fresh,hard,age,0.47,texture
7,carrot,feminine,food,11,smooth,yellow,texture,0.8,color
7,tomato,feminine,food,12,red,huge,color,0.08,size
7,fan,feminine,furniture,13,soft,short,texture,0.66,size
7,desk,masculine,furniture,14,rotten,big,age,0.39,size
7,couch,feminine,furniture,15,green,new,color,0.26,age
7,apple,feminine,food,16,new,round,age,0.39,shape
7,tomato,feminine,food,17,wooden,blue,material,0.24,color
7,tomato,feminine,food,18,new,brown,age,0.79,color
7,apple,feminine,food,19,hard,yellow,texture,0.87,color
7,cheese,masculine,food,20,plastic,big,material,0.18,size
7,desk,masculine,furniture,21,square,hard,shape,0.08,texture
7,cheese,masculine,food,22,blue,metal,color,0.86,material
