workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class
0,,blue,couch,0.94,furniture,3,color
0,,plastic,cheese,0.98,food,4,material
0,,red,fan,0.97,furniture,5,color
0,ليس,old,desk,0.99,furniture,6,age
0,ليس,hard,TV,0.98,furniture,7,texture
0,,big,cheese,0.96,food,8,size
0,,good,banana,0.02,food,9,quality
0,ليس,short,chair,0.02,furniture,10,size
0,,new,apple,0.98,food,11,age
0,ليس,metal,cheese,0.96,food,12,material
0,,purple,tomato,0.99,food,13,color
0,,rotten,cheese,0.98,food,14,age
0,,long,desk,0.01,furniture,15,size
0,ليست,round,fan,0.97,furniture,16,shape
0,,square,desk,0.99,furniture,17,shape
0,,smooth,tomato,0.03,food,18,texture
0,ليست,brown,apple,0.96,food,19,color
0,ليست,fresh,tomato,0.98,food,20,age
0,ليست,soft,carrot,0.98,food,21,texture
0,,huge,cheese,0.98,food,22,size
0,,green,chair,0.97,furniture,23,color
0,ليس,yellow,desk,0.96,furniture,24,color
0,ليست,bad,apple,0.02,food,25,quality
0,,wooden,tomato,0.01,food,26,material
0,,small,fan,0.02,furniture,27,size
1,,green,couch,0.84,furniture,3,color
1,,purple,chair,0.97,furniture,4,color
1,ليست,smooth,couch,0.96,furniture,5,texture
1,ليست,small,tomato,0.03,food,6,size
1,,big,desk,0.07,furniture,7,size
1,,red,TV,0.91,furniture,8,color
1,,long,cheese,0.9,food,9,size
1,,huge,tomato,0.07,food,10,size
1,ليست,bad,couch,0.95,furniture,11,quality
1,ليست,hard,couch,0.92,furniture,12,texture
1,,short,couch,0.85,furniture,13,size
1,ليست,round,banana,0.04,food,14,shape
1,ليست,rotten,couch,0.95,furniture,15,age
1,ليست,good,fan,0,furniture,16,quality
1,,soft,couch,0.99,furniture,17,texture
1,ليس,brown,TV,0.02,furniture,18,color
1,ليست,fresh,apple,0.96,food,19,age
1,,blue,chair,0.98,furniture,20,color
1,,yellow,tomato,0.98,food,21,color
1,,metal,apple,0.96,food,22,material
1,,square,cheese,0.96,food,23,shape
1,,wooden,tomato,0.98,food,24,material
1,,new,TV,0.03,furniture,25,age
1,,plastic,banana,0.95,food,26,material
1,ليست,old,fan,0.04,furniture,27,age
2,ليست,metal,fan,0.27,furniture,3,material
2,ليس,blue,TV,0.68,furniture,4,color
2,ليس,yellow,TV,0.44,furniture,5,color
2,ليس,bad,TV,0.64,furniture,6,quality
2,ليس,hard,desk,0.45,furniture,7,texture
2,,small,TV,0.71,furniture,8,size
2,ليس,fresh,TV,0.58,furniture,9,age
2,ليست,brown,fan,0.14,furniture,10,color
2,ليست,old,apple,0.11,food,11,age
2,,huge,chair,0.11,furniture,12,size
2,ليس,round,cheese,0.32,food,13,shape
2,ليست,short,apple,0.28,food,14,size
2,ليست,green,fan,0.42,furniture,15,color
2,ليس,plastic,TV,0.1,furniture,16,material
2,,soft,apple,0.45,food,17,texture
2,,wooden,desk,0.14,furniture,18,material
2,ليس,long,chair,0.26,furniture,19,size
2,ليست,smooth,tomato,0.11,food,20,texture
2,,square,carrot,0.28,food,21,shape
2,ليست,big,couch,0.08,furniture,22,size
2,,new,desk,0.32,furniture,23,age
2,ليس,rotten,TV,0.2,furniture,24,age
2,ليس,purple,cheese,0.44,food,25,color
2,ليست,red,carrot,0.23,food,26,color
2,,good,fan,0.16,furniture,27,quality
3,ليست,yellow,couch,0.46,furniture,3,color
3,ليس,plastic,desk,0.44,furniture,4,material
3,ليست,brown,apple,0.74,food,5,color
3,ليست,big,tomato,0.81,food,6,size
3,ليست,short,fan,0.6,furniture,7,size
3,,long,carrot,0.67,food,8,size
3,ليست,blue,carrot,0.67,food,9,color
3,ليست,square,carrot,0.56,food,10,shape
3,,soft,couch,0.66,furniture,11,texture
3,,new,fan,0.62,furniture,12,age
3,,huge,TV,0.68,furniture,13,size
3,,purple,desk,0.7,furniture,14,color
3,,small,chair,0.69,furniture,15,size
3,,rotten,cheese,0.59,food,16,age
3,,fresh,tomato,0.62,food,17,age
3,ليست,round,fan,0.66,furniture,18,shape
3,ليست,good,couch,0.63,furniture,19,quality
3,,old,couch,0.61,furniture,20,age
3,,smooth,fan,0.66,furniture,21,texture
3,ليست,green,banana,0.57,food,22,color
3,,hard,cheese,0.56,food,23,texture
3,ليس,bad,cheese,0.35,food,24,quality
3,ليست,wooden,apple,0.46,food,25,material
3,ليس,red,chair,0.43,furniture,26,color
3,ليست,metal,tomato,0.41,food,27,material
4,ليس,good,chair,0.34,furniture,3,quality
4,,wooden,tomato,0.3,food,4,material
4,,round,couch,0.47,furniture,5,shape
4,ليس,big,desk,0.19,furniture,6,size
4,ليس,rotten,TV,0.89,furniture,7,age
4,ليست,purple,apple,0.21,food,8,color
4,,red,tomato,0.7,food,9,color
4,,brown,cheese,0.22,food,10,color
4,ليس,hard,TV,0.69,furniture,11,texture
4,ليست,plastic,fan,0.23,furniture,12,material
4,ليس,huge,chair,0.78,furniture,13,size
4,ليس,blue,TV,0.27,furniture,14,color
4,,fresh,couch,0.63,furniture,15,age
4,ليس,yellow,desk,0.12,furniture,16,color
4,ليست,smooth,fan,0.75,furniture,17,texture
4,,square,apple,0.39,food,18,shape
4,ليس,metal,TV,0.8,furniture,19,material
4,,green,carrot,0.37,food,20,color
4,ليس,small,desk,0.57,furniture,21,size
4,ليس,old,cheese,0.4,food,22,age
4,,bad,TV,0.62,furniture,23,quality
4,,new,apple,0.38,food,24,age
4,,soft,tomato,0.53,food,25,texture
4,ليست,short,tomato,0.48,food,26,size
4,ليس,long,TV,0.52,furniture,27,size
5,ليست,bad,fan,0,furniture,3,quality
5,,yellow,fan,1,furniture,4,color
5,ليست,huge,fan,0,furniture,5,size
5,,square,apple,1,food,6,shape
5,,blue,tomato,1,food,7,color
5,ليس,long,chair,0,furniture,8,size
5,,short,desk,0,furniture,9,size
5,ليس,fresh,desk,0,furniture,10,age
5,,green,apple,1,food,11,color
5,,big,tomato,0.04,food,12,size
5,ليست,rotten,carrot,0.84,food,13,age
5,ليس,brown,chair,1,furniture,14,color
5,,metal,TV,1,furniture,15,material
5,,hard,TV,1,furniture,16,texture
5,ليست,old,carrot,0,food,17,age
5,,smooth,cheese,0.67,food,18,texture
5,,round,TV,1,furniture,19,shape
5,,wooden,banana,1,food,20,material
5,ليس,purple,cheese,1,food,21,color
5,ليس,new,chair,0,furniture,22,age
5,ليست,good,fan,0,furniture,23,quality
5,,soft,apple,1,food,24,texture
5,ليست,plastic,couch,1,furniture,25,material
5,,red,cheese,1,food,26,color
5,,small,desk,0,furniture,27,size
6,ليست,huge,tomato,1,food,3,size
6,,new,carrot,1,food,4,age
6,,rotten,fan,1,furniture,5,age
6,,yellow,apple,1,food,6,color
6,ليس,short,cheese,1,food,7,size
6,,old,fan,1,furniture,8,age
6,ليست,red,couch,1,furniture,9,color
6,ليست,brown,tomato,1,food,10,color
6,,big,apple,1,food,11,size
6,ليست,square,couch,1,furniture,12,shape
6,ليس,plastic,cheese,1,food,13,material
6,,fresh,chair,0.5,furniture,14,age
6,,blue,cheese,1,food,15,color
6,,smooth,tomato,1,food,16,texture
6,ليس,purple,desk,1,furniture,17,color
6,ليس,soft,desk,1,furniture,18,texture
6,,small,tomato,1,food,19,size
6,ليست,good,fan,1,furniture,20,quality
6,,round,couch,1,furniture,21,shape
6,,bad,apple,1,food,22,quality
6,ليست,green,banana,1,food,23,color
6,ليست,hard,tomato,1,food,24,texture
6,,metal,TV,1,furniture,25,material
6,,long,banana,1,food,26,size
6,ليست,wooden,couch,1,furniture,27,material
7,,small,carrot,0.82,food,3,size
7,,rotten,tomato,0.98,food,4,age
7,,metal,apple,0.96,food,5,material
7,ليست,purple,fan,0.96,furniture,6,color
7,,plastic,carrot,0.97,food,7,material
7,ليست,yellow,carrot,0.03,food,8,color
7,,blue,TV,0.98,furniture,9,color
7,ليس,smooth,cheese,0.01,food,10,texture
7,ليس,square,chair,0.02,furniture,11,shape
7,ليس,short,chair,0.04,furniture,12,size
7,ليست,fresh,apple,0.03,food,13,age
7,,round,TV,0.96,furniture,14,shape
7,ليس,hard,cheese,0.05,food,15,texture
7,,huge,TV,0.06,furniture,16,size
7,,soft,chair,0.02,furniture,17,texture
7,ليس,big,chair,0.02,furniture,18,size
7,,brown,couch,0.96,furniture,19,color
7,,red,fan,0.97,furniture,20,color
7,,long,carrot,0.02,food,21,size
7,,green,desk,0.95,furniture,22,color
7,ليست,bad,tomato,0.02,food,23,quality
7,ليس,new,chair,0.97,furniture,24,age
7,,old,tomato,0.96,food,25,age
7,,wooden,couch,0.97,furniture,26,material
7,ليست,good,apple,0,food,27,quality
8,,small,chair,0.17,furniture,3,size
8,,big,TV,0,furniture,4,size
8,,long,couch,0.03,furniture,5,size
8,ليست,hard,banana,0.6,food,6,texture
8,ليس,square,chair,1,furniture,7,shape
8,,smooth,chair,1,furniture,8,texture
8,ليس,bad,cheese,0.33,food,9,quality
8,ليست,good,carrot,0.5,food,10,quality
8,ليست,green,tomato,1,food,11,color
8,,huge,apple,0,food,12,size
8,ليست,new,banana,0,food,13,age
8,,blue,TV,1,furniture,14,color
8,ليست,red,carrot,1,food,15,color
8,,rotten,banana,0.48,food,16,age
8,ليست,old,tomato,0.33,food,17,age
8,,short,banana,0.11,food,18,size
8,,yellow,desk,1,furniture,19,color
8,,metal,tomato,0,food,20,material
8,ليست,plastic,tomato,1,food,21,material
8,,brown,TV,1,furniture,22,color
8,,round,chair,1,furniture,23,shape
8,ليس,fresh,desk,1,furniture,24,age
8,,purple,banana,1,food,25,color
8,ليس,wooden,TV,1,furniture,26,material
8,,soft,carrot,1,food,27,texture
