workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class
0,,square,tomato,0.7,food,3,shape
0,,old,cheese,0.71,food,4,age
0,ليست,round,tomato,0.44,food,5,shape
0,ليست,big,banana,0.65,food,6,size
0,ليس,huge,chair,0.79,furniture,7,size
0,,metal,fan,0.78,furniture,8,material
0,ليس,new,TV,0.81,furniture,9,age
0,,yellow,fan,0.76,furniture,10,color
0,,wooden,banana,0.74,food,11,material
0,ليست,plastic,banana,0.53,food,12,material
0,,purple,desk,0.69,furniture,13,color
0,,short,tomato,0.76,food,14,size
0,ليست,red,couch,0.77,furniture,15,color
0,,hard,tomato,0.72,food,16,texture
0,,bad,desk,0.75,furniture,17,quality
0,,soft,cheese,0.74,food,18,texture
0,,green,desk,0.7,furniture,19,color
0,,fresh,chair,0.75,furniture,20,age
0,ليست,blue,banana,0.74,food,21,color
0,,small,carrot,0.7,food,22,size
0,ليس,rotten,TV,0.58,furniture,23,age
0,,brown,apple,0.82,food,24,color
0,,smooth,chair,0.64,furniture,25,texture
0,ليس,long,TV,0.76,furniture,26,size
0,ليس,good,TV,0.81,furniture,27,quality
1,ليست,new,apple,0.57,food,3,age
1,ليست,old,couch,0.56,furniture,4,age
1,,metal,tomato,0.77,food,5,material
1,,soft,couch,0.73,furniture,6,texture
1,,green,TV,0.28,furniture,7,color
1,ليست,fresh,carrot,0.78,food,8,age
1,ليست,purple,carrot,0.71,food,9,color
1,ليست,rotten,tomato,0.77,food,10,age
1,,huge,desk,0.78,furniture,11,size
1,ليست,small,fan,0.89,furniture,12,size
1,,round,couch,0.79,furniture,13,shape
1,,smooth,TV,0.53,furniture,14,texture
1,,blue,carrot,0.76,food,15,color
1,,square,fan,0.59,furniture,16,shape
1,,hard,banana,0.64,food,17,texture
1,ليس,long,chair,0.55,furniture,18,size
1,,bad,TV,0.82,furniture,19,quality
1,,plastic,tomato,0.89,food,20,material
1,,red,chair,0.53,furniture,21,color
1,ليس,brown,chair,0.68,furniture,22,color
1,,wooden,banana,0.76,food,23,material
1,,big,apple,0.82,food,24,size
1,,good,chair,0.7,furniture,25,quality
1,ليس,yellow,desk,0.75,furniture,26,color
1,,short,apple,0.74,food,27,size
2,,plastic,desk,0.8,furniture,3,material
2,ليس,red,cheese,0.82,food,4,color
2,ليست,long,couch,0.18,furniture,5,size
2,ليست,green,banana,0.77,food,6,color
2,,soft,chair,0.17,furniture,7,texture
2,ليست,new,carrot,0.59,food,8,age
2,,big,chair,0.19,furniture,9,size
2,ليس,square,TV,0.82,furniture,10,shape
2,ليس,wooden,TV,0.85,furniture,11,material
2,,small,tomato,0.11,food,12,size
2,,good,banana,0.16,food,13,quality
2,,smooth,cheese,0.18,food,14,texture
2,,blue,carrot,0.84,food,15,color
2,ليس,short,cheese,0.24,food,16,size
2,,purple,TV,0.79,furniture,17,color
2,ليس,round,cheese,0.74,food,18,shape
2,ليست,old,tomato,0.19,food,19,age
2,ليس,fresh,desk,0.18,furniture,20,age
2,,hard,chair,0.2,furniture,21,texture
2,,huge,couch,0.21,furniture,22,size
2,,yellow,fan,0.83,furniture,23,color
2,,brown,couch,0.81,furniture,24,color
2,ليس,bad,chair,0.15,furniture,25,quality
2,,metal,desk,0.85,furniture,26,material
2,ليست,rotten,fan,0.22,furniture,27,age
3,,soft,cheese,0.7,food,3,texture
