"","response","workerID","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"1",0.24,1,"TV","furniture","predicate1","smooth",0.24,"texture"
"2",0.67,1,"cheese","food","predicate1","metal",0.67,"material"
"3",0.31,1,"TV","furniture","predicate1","metal",0.31,"material"
"4",0.09,1,"chair","furniture","predicate1","short",0.09,"size"
"5",0.26,1,"apple","food","predicate1","small",0.26,"size"
"6",0.81,1,"cheese","food","predicate1","plastic",0.81,"material"
"7",0.23,1,"apple","food","predicate1","huge",0.23,"size"
"8",0.83,1,"TV","furniture","predicate1","round",0.83,"shape"
"9",0.11,1,"carrot","food","predicate1","metal",0.11,"material"
"10",0.09,1,"chair","furniture","predicate1","new",0.09,"age"
"11",0.88,1,"TV","furniture","predicate1","small",0.88,"size"
"12",0.05,1,"apple","food","predicate1","fresh",0.05,"age"
"13",0.06,1,"apple","food","predicate1","short",0.06,"size"
"14",0.94,1,"couch","furniture","predicate1","wooden",0.94,"material"
"15",0.75,1,"couch","furniture","predicate1","brown",0.75,"color"
"16",0.9,1,"cheese","food","predicate1","brown",0.9,"color"
"17",0.08,1,"fan","furniture","predicate1","smooth",0.08,"texture"
"18",0.52,1,"apple","food","predicate1","new",0.52,"age"
"19",0.83,1,"desk","furniture","predicate1","metal",0.83,"material"
"20",0.92,1,"chair","furniture","predicate1","hard",0.92,"texture"
"21",0.05,1,"fan","furniture","predicate1","good",0.05,"quality"
"22",0.91,1,"banana","food","predicate1","hard",0.91,"texture"
"23",0.06,1,"couch","furniture","predicate1","soft",0.06,"texture"
"24",0.08,1,"carrot","food","predicate1","smooth",0.08,"texture"
"25",0.09,1,"chair","furniture","predicate1","round",0.09,"shape"
"26",0.07,1,"banana","food","predicate1","short",0.07,"size"
"27",0.78,4,"carrot","food","predicate1","red",0.78,"color"
"28",0.9,4,"carrot","food","predicate1","huge",0.9,"size"
"29",0.94,4,"banana","food","predicate1","round",0.94,"shape"
"30",0.94,4,"TV","furniture","predicate1","soft",0.94,"texture"
"31",0.25,4,"chair","furniture","predicate1","square",0.25,"shape"
"32",0.86,4,"tomato","food","predicate1","long",0.86,"size"
"33",0.91,4,"cheese","food","predicate1","metal",0.91,"material"
"34",0.93,4,"tomato","food","predicate1","new",0.93,"age"
"35",0.07,4,"carrot","food","predicate1","plastic",0.07,"material"
"36",0.95,4,"tomato","food","predicate1","soft",0.95,"texture"
"37",0.08,4,"carrot","food","predicate1","new",0.08,"age"
"38",0.96,4,"desk","furniture","predicate1","square",0.96,"shape"
"39",0.89,4,"tomato","food","predicate1","bad",0.89,"quality"
"40",0.88,4,"desk","furniture","predicate1","rotten",0.88,"age"
"41",0.04,4,"apple","food","predicate1","round",0.04,"shape"
"42",0.95,4,"fan","furniture","predicate1","small",0.95,"size"
"43",0.92,4,"chair","furniture","predicate1","old",0.92,"age"
"44",0.04,4,"apple","food","predicate1","new",0.04,"age"
"45",0.01,4,"banana","food","predicate1","short",0.01,"size"
"46",0.03,4,"tomato","food","predicate1","new",0.03,"age"
"47",0.89,4,"cheese","food","predicate1","soft",0.89,"texture"
"48",0.06,4,"chair","furniture","predicate1","plastic",0.06,"material"
"49",0.95,4,"TV","furniture","predicate1","small",0.95,"size"
"50",0.53,4,"TV","furniture","predicate1","smooth",0.53,"texture"
"51",0.87,4,"tomato","food","predicate1","round",0.87,"shape"
"52",0.79,4,"tomato","food","predicate1","smooth",0.79,"texture"
"53",0.94,6,"apple","food","predicate1","yellow",0.94,"color"
"54",0.99,6,"cheese","food","predicate1","wooden",0.99,"material"
"55",0.91,6,"tomato","food","predicate1","smooth",0.91,"texture"
"56",0.01,6,"chair","furniture","predicate1","old",0.01,"age"
"57",0.03,6,"carrot","food","predicate1","good",0.03,"quality"
"58",0.88,6,"banana","food","predicate1","small",0.88,"size"
"59",0.07,6,"cheese","food","predicate1","huge",0.07,"size"
"60",0.98,6,"fan","furniture","predicate1","purple",0.98,"color"
"61",0.87,6,"carrot","food","predicate1","round",0.87,"shape"
"62",0.01,6,"banana","food","predicate1","soft",0.01,"texture"
"63",0.02,6,"apple","food","predicate1","smooth",0.02,"texture"
"64",0.89,6,"tomato","food","predicate1","green",0.89,"color"
"65",0.99,6,"carrot","food","predicate1","round",0.99,"shape"
"66",0.95,6,"apple","food","predicate1","small",0.95,"size"
"67",0.08,6,"desk","furniture","predicate1","big",0.08,"size"
"68",0.01,6,"apple","food","predicate1","fresh",0.01,"age"
"69",0.08,6,"banana","food","predicate1","fresh",0.08,"age"
"70",0.01,6,"cheese","food","predicate1","plastic",0.01,"material"
"71",0.93,6,"fan","furniture","predicate1","long",0.93,"size"
"72",0.97,6,"TV","furniture","predicate1","short",0.97,"size"
"73",0.99,6,"chair","furniture","predicate1","hard",0.99,"texture"
"74",0.87,6,"apple","food","predicate1","long",0.87,"size"
"75",0.91,6,"carrot","food","predicate1","blue",0.91,"color"
"76",0.89,6,"carrot","food","predicate1","red",0.89,"color"
"77",0.15,6,"carrot","food","predicate1","plastic",0.15,"material"
"78",0.94,6,"desk","furniture","predicate1","yellow",0.94,"color"
"79",0.08,7,"TV","furniture","predicate1","metal",0.08,"material"
"80",0.09,7,"chair","furniture","predicate1","huge",0.09,"size"
"81",0.88,7,"desk","furniture","predicate1","red",0.88,"color"
"82",0.99,7,"carrot","food","predicate1","wooden",0.99,"material"
"83",0.02,7,"tomato","food","predicate1","soft",0.02,"texture"
"84",0.96,7,"tomato","food","predicate1","bad",0.96,"quality"
"85",1,7,"chair","furniture","predicate1","brown",1,"color"
"86",0.96,7,"tomato","food","predicate1","old",0.96,"age"
"87",0.05,7,"carrot","food","predicate1","round",0.05,"shape"
"88",0.04,7,"couch","furniture","predicate1","square",0.04,"shape"
"89",0.95,7,"desk","furniture","predicate1","long",0.95,"size"
"90",0.93,7,"couch","furniture","predicate1","small",0.93,"size"
"91",0.97,7,"couch","furniture","predicate1","bad",0.97,"quality"
"92",0.98,7,"fan","furniture","predicate1","small",0.98,"size"
"93",0.01,7,"tomato","food","predicate1","long",0.01,"size"
"94",0.98,7,"fan","furniture","predicate1","hard",0.98,"texture"
"95",0.99,7,"TV","furniture","predicate1","purple",0.99,"color"
"96",0.96,7,"cheese","food","predicate1","round",0.96,"shape"
"97",0.98,7,"TV","furniture","predicate1","fresh",0.98,"age"
"98",0.93,7,"TV","furniture","predicate1","brown",0.93,"color"
"99",0.93,7,"banana","food","predicate1","new",0.93,"age"
"100",0.98,7,"apple","food","predicate1","long",0.98,"size"
"101",0.04,7,"tomato","food","predicate1","new",0.04,"age"
"102",0.09,7,"cheese","food","predicate1","soft",0.09,"texture"
"103",0.92,7,"carrot","food","predicate1","blue",0.92,"color"
"104",0.95,7,"desk","furniture","predicate1","bad",0.95,"quality"
"105",1,8,"banana","food","predicate1","hard",1,"texture"
"106",0,8,"TV","furniture","predicate1","fresh",0,"age"
"107",0,8,"carrot","food","predicate1","fresh",0,"age"
"108",1,8,"carrot","food","predicate1","metal",1,"material"
"109",0,8,"TV","furniture","predicate1","bad",0,"quality"
"110",0,8,"fan","furniture","predicate1","fresh",0,"age"
"111",1,8,"fan","furniture","predicate1","blue",1,"color"
"112",1,8,"carrot","food","predicate1","hard",1,"texture"
"113",1,8,"tomato","food","predicate1","soft",1,"texture"
"114",1,8,"fan","furniture","predicate1","smooth",1,"texture"
"115",1,8,"couch","furniture","predicate1","green",1,"color"
"116",0,8,"desk","furniture","predicate1","short",0,"size"
"117",0,8,"apple","food","predicate1","new",0,"age"
"118",1,8,"couch","furniture","predicate1","brown",1,"color"
"119",1,8,"chair","furniture","predicate1","hard",1,"texture"
"120",1,8,"chair","furniture","predicate1","good",1,"quality"
"121",0,8,"chair","furniture","predicate1","soft",0,"texture"
"122",0,8,"carrot","food","predicate1","big",0,"size"
"123",1,8,"TV","furniture","predicate1","rotten",1,"age"
"124",0,8,"tomato","food","predicate1","short",0,"size"
"125",1,8,"desk","furniture","predicate1","hard",1,"texture"
"126",1,8,"couch","furniture","predicate1","huge",1,"size"
"127",1,8,"couch","furniture","predicate1","hard",1,"texture"
