"","workerid","noun","gender","nounclass","slide_number","predicate","class","response","language","comments","asses","test1","test2","test3","dialect","lived","describe","years","proficiency"
"726","vi. 29","apple","Female","food",3,"hard","texture",1,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"727","vi. 29","carrot","Female","food",4,"purple","color",0.86,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"728","vi. 29","tomato","Female","food",5,"big","size",0.86,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"729","vi. 29","carrot","Female","food",6,"blue","color",0.09,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"730","vi. 29","fan","Female","furniture",7,"long","size",0.8,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"731","vi. 29","carrot","Female","food",8,"smooth","texture",0.78,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"732","vi. 29","tomato","Female","food",9,"new","age",0.71,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"733","vi. 29","apple","Female","food",10,"fresh","age",0.65,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"734","vi. 29","TV","Female","furniture",11,"yellow","color",0.15,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"735","vi. 29","carrot","Female","food",12,"short","size",0.88,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"736","vi. 29","cheese","Female","food",13,"good","quality",0.87,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"737","vi. 29","fan","Female","furniture",14,"bad","quality",0.75,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"738","vi. 29","tomato","Female","food",15,"red","color",0.13,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"739","vi. 29","fan","Female","furniture",16,"old","age",0.72,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"740","vi. 29","couch","Female","furniture",17,"brown","color",0.09,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"741","vi. 29","apple","Female","food",18,"square","shape",0.21,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"742","vi. 29","tomato","Female","food",19,"plastic","material",0.7,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"743","vi. 29","apple","Female","food",20,"soft","texture",0.67,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"744","vi. 29","couch","Female","furniture",21,"rotten","age",0.69,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
"745","vi. 29","fan","Female","furniture",22,"wooden","material",0.24,"العربيه","تجربه رائعه","Yes","correct","correct","correct","egyptian","both","arabic-arabic","5+","superior"
