workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class,test1,dialect,test3,lived,language,enjoyment,gender,age,describe,comments,years,proficiency,otherDialect,asses,test2,education,dominantLanguage,homeLanguage,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,ليس,huge,TV,0.94,furniture,3,size,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,ليس,fresh,cheese,0.94,food,4,age,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,,green,TV,0.95,furniture,5,color,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,,short,fan,0.93,furniture,6,size,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,,wooden,TV,0.92,furniture,7,material,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,ليست,soft,carrot,0.94,food,8,texture,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,ليست,new,couch,0.91,furniture,9,age,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,ليس,rotten,desk,0.94,furniture,10,age,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,,purple,chair,1,furniture,11,color,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
0,,old,cheese,0.94,food,12,age,correct,gulf,incorrect,both,,0,Male,28,arabic-english,no,never,intermediate,,Yes,incorrect,1,english,english,Windows,800,1280,Chrome,37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:38 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:38 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=37YYO3NWHDLPA4QAA9J8BGXEGA0CC2,3W92K5RLWVD3XCLODIW7CLBHLAIV5F,0,Approved,Tue Mar 12 11:04:37 PDT 2019,Mon Mar 11 18:21:50 PDT 2019,Mon Mar 11 18:24:37 PDT 2019,Tue Mar 12 11:05:33 PDT 2019,,,,,[],2.3610166666666665
