workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class
0,ليس,huge,TV,0.94,furniture,3,size
0,ليس,fresh,cheese,0.94,food,4,age
0,,green,TV,0.95,furniture,5,color
0,,short,fan,0.93,furniture,6,size
0,,wooden,TV,0.92,furniture,7,material
0,ليست,soft,carrot,0.94,food,8,texture
0,ليست,new,couch,0.91,furniture,9,age
0,ليس,rotten,desk,0.94,furniture,10,age
0,,purple,chair,1,furniture,11,color
0,,old,cheese,0.94,food,12,age
0,,square,apple,0.97,food,13,shape
0,,good,tomato,0.89,food,14,quality
0,,long,banana,0.66,food,15,size
0,ليس,red,TV,0.21,furniture,16,color
0,ليس,small,desk,0.68,furniture,17,size
0,ليس,plastic,chair,0.67,furniture,18,material
0,ليست,blue,tomato,0.63,food,19,color
0,,bad,banana,0.82,food,20,quality
0,,brown,tomato,0.85,food,21,color
0,,smooth,tomato,0.8,food,22,texture
0,ليست,hard,carrot,0.74,food,23,texture
0,,round,TV,0.4,furniture,24,shape
0,,yellow,TV,0.47,furniture,25,color
0,ليست,big,apple,0.3,food,26,size
0,,metal,tomato,0.54,food,27,material
1,,green,tomato,0.42,food,3,color
1,,hard,chair,0.56,furniture,4,texture
1,,brown,couch,0.44,furniture,5,color
1,ليس,metal,cheese,0.57,food,6,material
1,,yellow,couch,0.33,furniture,7,color
1,,big,tomato,0.56,food,8,size
1,,smooth,desk,0.45,furniture,9,texture
1,,good,cheese,0.63,food,10,quality
1,,small,fan,0.42,furniture,11,size
1,,long,chair,0.62,furniture,12,size
1,ليس,soft,TV,0.4,furniture,13,texture
1,,bad,carrot,0.43,food,14,quality
1,ليس,purple,desk,0.45,furniture,15,color
1,,short,tomato,0.46,food,16,size
1,ليست,round,tomato,0.65,food,17,shape
1,ليست,blue,carrot,0.65,food,18,color
1,,plastic,tomato,0.43,food,19,material
1,ليس,square,desk,0.23,furniture,20,shape
1,ليس,old,chair,0.67,furniture,21,age
1,ليس,red,TV,0.61,furniture,22,color
1,ليست,huge,banana,0.68,food,23,size
1,,wooden,fan,0.51,furniture,24,material
1,ليس,fresh,cheese,0.38,food,25,age
1,ليست,rotten,fan,0.68,furniture,26,age
1,,new,chair,0.55,furniture,27,age
2,,smooth,TV,0.46,furniture,3,texture
2,ليست,blue,couch,0.5,furniture,4,color
2,ليس,brown,chair,0.61,furniture,5,color
2,,small,couch,0.68,furniture,6,size
2,,big,couch,0.66,furniture,7,size
2,ليس,hard,desk,0.67,furniture,8,texture
2,ليست,purple,fan,0.59,furniture,9,color
2,ليست,red,fan,0.65,furniture,10,color
2,,bad,fan,0.63,furniture,11,quality
2,ليس,long,desk,0.74,furniture,12,size
