workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class
0,,brown,carrot,1,food,3,color
0,,old,chair,1,furniture,4,age
0,ليس,big,desk,1,furniture,5,size
0,ليست,smooth,banana,0,food,6,texture
0,ليست,square,fan,1,furniture,7,shape
0,ليست,yellow,apple,1,food,8,color
0,ليست,green,fan,1,furniture,9,color
0,,plastic,cheese,1,food,10,material
0,ليست,purple,apple,1,food,11,color
0,,new,apple,1,food,12,age
0,ليست,huge,apple,1,food,13,size
0,,red,TV,1,furniture,14,color
0,,rotten,TV,1,furniture,15,age
0,,hard,apple,0,food,16,texture
0,ليست,small,fan,1,furniture,17,size
0,ليس,good,desk,0,furniture,18,quality
0,ليست,wooden,couch,1,furniture,19,material
0,ليست,soft,couch,1,furniture,20,texture
0,ليست,fresh,banana,0,food,21,age
0,ليس,blue,cheese,1,food,22,color
0,ليست,long,fan,1,furniture,23,size
0,ليست,metal,tomato,1,food,24,material
0,ليست,round,carrot,1,food,25,shape
0,ليست,short,fan,1,furniture,26,size
0,,bad,carrot,1,food,27,quality
1,ليس,huge,chair,0.35,furniture,3,size
1,ليس,smooth,cheese,0.52,food,4,texture
1,ليست,good,apple,0.6,food,5,quality
1,,hard,cheese,0.64,food,6,texture
1,,rotten,carrot,0.49,food,7,age
1,,big,carrot,0.71,food,8,size
1,ليست,purple,tomato,0.5,food,9,color
1,ليس,long,TV,0.73,furniture,10,size
1,ليست,small,fan,0.44,furniture,11,size
1,,yellow,chair,0.6,furniture,12,color
1,ليست,new,couch,0.6,furniture,13,age
1,,blue,carrot,0.68,food,14,color
1,ليس,plastic,chair,0.75,furniture,15,material
1,,red,TV,0.57,furniture,16,color
1,,green,fan,0.67,furniture,17,color
1,ليست,fresh,banana,0.62,food,18,age
1,ليست,soft,couch,0.74,furniture,19,texture
1,ليس,old,TV,0.7,furniture,20,age
1,,square,banana,0.75,food,21,shape
1,ليست,round,apple,0.67,food,22,shape
1,ليس,wooden,chair,0.67,furniture,23,material
1,,brown,tomato,0.75,food,24,color
1,,metal,cheese,0.77,food,25,material
1,ليست,short,carrot,0.61,food,26,size
1,,bad,tomato,0.43,food,27,quality
2,,wooden,desk,0.87,furniture,3,material
2,,round,chair,1,furniture,4,shape
2,ليست,purple,carrot,1,food,5,color
2,,short,desk,0,furniture,6,size
2,,smooth,TV,0.89,furniture,7,texture
2,ليست,rotten,couch,0,furniture,8,age
2,,yellow,tomato,1,food,9,color
2,ليست,big,couch,0,furniture,10,size
2,,fresh,desk,1,furniture,11,age
2,ليس,hard,cheese,0,food,12,texture
2,ليست,brown,carrot,1,food,13,color
2,ليست,old,couch,0,furniture,14,age
2,ليس,plastic,TV,0.49,furniture,15,material
2,ليس,green,desk,1,furniture,16,color
2,,small,cheese,0,food,17,size
2,,good,TV,0,furniture,18,quality
2,ليست,red,fan,1,furniture,19,color
2,ليست,bad,apple,0,food,20,quality
2,,huge,TV,0.58,furniture,21,size
2,ليست,blue,couch,0.84,furniture,22,color
2,ليست,soft,tomato,0,food,23,texture
2,ليس,long,cheese,1,food,24,size
2,,new,desk,0.79,furniture,25,age
2,ليست,square,fan,1,furniture,26,shape
2,,metal,couch,0,furniture,27,material
3,,green,tomato,0.73,food,3,color
3,ليست,square,fan,0.24,furniture,4,shape
3,ليست,rotten,couch,0.76,furniture,5,age
3,ليس,huge,cheese,0.85,food,6,size
3,,yellow,apple,0.37,food,7,color
3,ليس,new,cheese,0.76,food,8,age
3,,old,tomato,0.44,food,9,age
3,,metal,carrot,0.66,food,10,material
3,ليست,short,banana,0.4,food,11,size
3,,hard,chair,0.74,furniture,12,texture
3,,red,cheese,0.39,food,13,color
3,ليس,blue,chair,0.74,furniture,14,color
3,,fresh,banana,0.37,food,15,age
3,,long,couch,0.68,furniture,16,size
3,ليس,big,chair,0.38,furniture,17,size
3,ليست,bad,apple,0.7,food,18,quality
3,ليست,round,apple,0.3,food,19,shape
3,ليس,plastic,desk,0.7,furniture,20,material
3,,smooth,apple,0.32,food,21,texture
3,,soft,banana,0.79,food,22,texture
3,ليست,good,couch,0.36,furniture,23,quality
3,ليست,purple,apple,0.78,food,24,color
3,ليست,brown,couch,0.36,furniture,25,color
3,,small,fan,0.68,furniture,26,size
3,,wooden,apple,0.36,food,27,material
4,ليست,huge,tomato,0.6,food,3,size
4,,brown,tomato,0.65,food,4,color
4,,purple,fan,0.32,furniture,5,color
4,ليست,smooth,couch,0.46,furniture,6,texture
4,,plastic,desk,0.78,furniture,7,material
4,ليست,yellow,tomato,0.23,food,8,color
4,,green,fan,0.7,furniture,9,color
4,,soft,cheese,0.75,food,10,texture
4,,new,couch,0.49,furniture,11,age
4,,fresh,banana,0.2,food,12,age
4,ليست,bad,carrot,0.33,food,13,quality
4,,long,tomato,0.75,food,14,size
4,,round,tomato,0.49,food,15,shape
4,ليست,red,couch,0.74,furniture,16,color
4,ليس,wooden,desk,0.69,furniture,17,material
4,,good,chair,0.69,furniture,18,quality
4,,old,chair,0.42,furniture,19,age
4,ليست,metal,fan,0.24,furniture,20,material
4,,square,banana,0.44,food,21,shape
4,,blue,TV,0.59,furniture,22,color
4,ليست,rotten,carrot,0.55,food,23,age
4,ليس,small,desk,0.86,furniture,24,size
4,,hard,banana,0.25,food,25,texture
